bo_day,bo_location,bo_month,bo_year,change_pct,created_on,distributor,distributor_id,gross,per_theater,previous_rank,rank,theaters,title,title_id,total_gross,weeks_in_release
21,Domestic,12,2018,,2019-01-07 10:01:42.772290,Warner Bros.,Warner-Bros,"$67,873,522","$16,454",new,1,"4,125",Aquaman,Aquaman-(2018),"$72,573,522",1
21,Domestic,12,2018,,2019-01-07 10:01:42.776280,Walt Disney,Walt-Disney,"$23,523,121","$5,751",new,2,"4,090",Mary Poppins Returns,Mary-Poppins-Returns-(2018),"$32,337,792",1
21,Domestic,12,2018,,2019-01-07 10:01:42.781297,Paramount Pictures,Paramount-Pictures,"$21,654,047","$6,100",new,3,"3,550",Bumblebee,Bumblebee,"$21,654,047",1
21,Domestic,12,2018,-53%,2019-01-07 10:01:42.785293,Sony Pictures,Sony-Pictures,"$16,463,662","$4,318",(1),4,"3,813",Spider-Man: Into The Spider…,Spider-Man-Into-The-Spider-Verse-3D-(2018),"$64,563,725",2
21,Domestic,12,2018,-46%,2019-01-07 10:01:42.788284,Warner Bros.,Warner-Bros,"$9,500,985","$3,577",(2),5,"2,656",The Mule,Mule-The-(2018),"$35,204,450",2
21,Domestic,12,2018,-28%,2019-01-07 10:01:42.792278,Universal,Universal,"$8,458,030","$3,042",(3),6,"2,780",Dr. Seussâ The Grinch,Dr-Seuss-The-Grinch-(2018),"$253,498,005",7
21,Domestic,12,2018,,2019-01-07 10:01:42.796259,STX Entertainment,STX-Entertainment,"$6,489,983","$2,489",new,7,"2,607",Second Act,Second-Act-(2018),"$6,489,983",1
21,Domestic,12,2018,-49%,2019-01-07 10:01:42.799252,Walt Disney,Walt-Disney,"$4,702,425","$1,885",(4),8,"2,495",Ralph Breaks The Internet,Ralph-Breaks-The-Internet-(2018),"$162,197,355",5
21,Domestic,12,2018,,2019-01-07 10:01:42.803245,Universal,Universal,"$2,354,205","$1,232",new,9,"1,911",Welcome to Marwen,Welcome-to-Marwen-(2018),"$2,354,205",1
21,Domestic,12,2018,+226%,2019-01-07 10:01:42.807195,Focus Features,Focus-Features,"$2,277,820","$2,865",(17),10,795,Mary Queen of Scots,Mary-Queen-of-Scots-(UK)-(2018),"$3,581,575",3
21,Domestic,12,2018,-20%,2019-01-07 10:01:42.811219,Fox Searchlight,Fox-Searchlight,"$2,085,123","$2,639",(12),11,790,The Favourite,Favourite-The-(2018),"$10,112,263",5
21,Domestic,12,2018,-55%,2019-01-07 10:01:42.815208,20th Century Fox,20th-Century-Fox,"$1,961,208","$1,679",(7),12,"1,168",Bohemian Rhapsody,Bohemian-Rhapsody-(2018),"$184,793,006",8
21,Domestic,12,2018,-77%,2019-01-07 10:01:42.819203,Universal,Universal,"$1,751,605",$564,(5),13,"3,103",Mortal Engines,Mortal-Engines-(2018),"$12,016,565",2
21,Domestic,12,2018,-71%,2019-01-07 10:01:42.823194,MGM,MGM,"$1,546,782","$1,372",(6),14,"1,127",Creed II,Creed-II-(2018),"$108,733,399",5
21,Domestic,12,2018,-50%,2019-01-07 10:01:42.827181,Universal,Universal,"$1,388,905","$1,897",(10),15,732,Green Book,Green-Book-(2018),"$27,512,876",6
21,Domestic,12,2018,-76%,2019-01-07 10:01:42.830173,Warner Bros.,Warner-Bros,"$900,784","$1,321",(9),16,682,Fantastic Beasts: The Crime…,Fantastic-Beasts-The-Crimes-of-Grindelwald-(2018),"$154,493,497",6
21,Domestic,12,2018,-70%,2019-01-07 10:01:42.834388,20th Century Fox,20th-Century-Fox,"$800,213",$560,(11),17,"1,428",Once Upon a Deadpool,Deadpool-2,"$324,255,896",32
21,Domestic,12,2018,-83%,2019-01-07 10:01:42.838157,Paramount Pictures,Paramount-Pictures,"$648,695",$872,(8),18,744,Instant Family,Instant-Family-(2018),"$62,490,761",6
21,Domestic,12,2018,+182%,2019-01-07 10:01:42.842139,Roadside Attractions,Roadside-Attractions,"$398,908","$2,462",(23),19,162,Ben is Back,Ben-is-Back-(2018),"$718,711",3
21,Domestic,12,2018,-67%,2019-01-07 10:01:42.847091,Warner Bros.,Warner-Bros,"$347,756","$1,327",(16),20,262,A Star is Born,Star-is-Born-A-(2018),"$200,069,483",12
21,Domestic,12,2018,-64%,2019-01-07 10:01:42.851080,Walt Disney,Walt-Disney,"$205,819",$854,(18),21,241,The Nutcracker and the Four…,Nutcracker-and-the-Four-Realms-The-(2018),"$54,164,249",8
21,Domestic,12,2018,+44%,2019-01-07 10:01:42.856067,Magnolia Pictures,Magnolia-Pictures,"$163,788","$3,033",(29),22,54,Shoplifters,Manbiki-kazoku-(Japan)-(2018),"$795,064",5
21,Domestic,12,2018,-89%,2019-01-07 10:01:42.860056,20th Century Fox,20th-Century-Fox,"$134,008",$899,(13),23,149,Widows,Widows-(2018),"$41,600,017",6
21,Domestic,12,2018,-51%,2019-01-07 10:01:42.864045,Annapurna Pictures,Annapurna-Pictures,"$109,264","$21,853",(20),24,5,If Beale Street Could Talk,If-Beale-Street-Could-Talk-(2018),"$422,412",2
21,Domestic,12,2018,-29%,2019-01-07 10:01:42.869032,Greenwich,Greenwich,"$100,564","$1,378",(24),25,73,Free Solo,Free-Solo-(Documentary)-(2018),"$10,993,136",13
21,Domestic,12,2018,-51%,2019-01-07 10:01:42.873021,CBS Films,CBS-Films,"$93,783","$1,130",(21),26,83,At Eternityâs Gate,At-Eternitys-Gate-(2018),"$1,676,446",6
21,Domestic,12,2018,-93%,2019-01-07 10:01:42.877008,Lionsgate,Lionsgate,"$87,781",$382,(14),27,230,Robin Hood,Robin-Hood-(2018),"$30,407,200",5
